Accession	Source Database	Name	Parent	Children	Number of Entries	Number of Proteins
1003	uniprot	Thermoflexibacter ruber	1938003			
1004	uniprot	Chitinophaga sancti	79328	1121282		
102	uniprot	Polaribacter glomeratus	52959			
1028	uniprot	Marivirga sericea	869806			
1032	uniprot	Thiothrix sp.	2636184			
1035	uniprot	Afipia felis (Cat scratch disease bacillus)	1033	883080,168932		
1042	uniprot	Erythrobacter sp.	2633097			
1044	uniprot	Erythrobacter longus	1041			
1058	uniprot	Thiocapsa roseopersicina	1056			
1061	uniprot	Rhodobacter capsulatus	1060	272942,1415159,1414586,1415160,1415163,1415162,1415161		
1062	uniprot	Rhodobacter sp.	196779			
1063	uniprot	Cereibacter sphaeroides	1653176	557760,633146,992186,418630,39723,272943,349102,349101		
1071	uniprot	Rhodopila globiformis	1070			
1074	uniprot	Rhodoblastus acidophilus	168658			
1076	uniprot	Rhodopseudomonas palustris	1073	316058,652103,1421014,316057,258594,316056,1421013,74570,316055,395960		
1082	uniprot	Magnetospirillum fulvum	13134	1316936		
1112	uniprot	Erythrobacter neustonensis	1041			
